GENDER,ETHNICITY,RELIGION,ADMT_DESC,STU_LEVL,STU_PRGM_CODE
M,Asian,Unknown,Regular(Graduate Programs),GR,MS-CBS-AP
F,Asian,Unknown,Regular(Graduate Programs),GR,MA-H-PSC
F,Asian,Unknown,Regular(Graduate Programs),GR,MA-H-MFT
M,Asian,Muslim,Regular(Graduate Programs),GR,MBA-OY
F,Asian,Unknown,First Time Freshman,UG,BS
F,Asian,Unknown,Academic Discovery Program,UG,BSN
M,Asian,Unknown,Academic Discovery Program,UG,BS
F,Asian,No Religion,First Time Freshman,UG,BBA
F,Asian,Unknown,Regular(Graduate Programs),GR,CERT-GR-NUR
F,Asian,Unknown,First Time Freshman,UG,BS
F,Asian,Unknown,Regular(Graduate Programs),GR,MSW-OY
F,Asian,No Religion,First Time Freshman,UG,BSN
M,Asian,Unknown,First Time Freshman,UG,BS
F,Asian,Other,Regular(Graduate Programs),DR,DNP-NAST-LSU
F,Asian,Muslim,Regular(Graduate Programs),GR,MA-H-PSC
F,Asian,Unknown,Regular(Graduate Programs),DR,PSYD
M,Asian,Unknown,First Time Freshman,UG,BSN
F,Asian,Unknown,First Time Freshman,UG,BSN
M,Asian,Unknown,Regular(Graduate Programs),GR,MS-CIS-AP
M,Asian,Unknown,First Time Freshman,UG,BA
M,Asian,Unknown,First Time Freshman,UG,BSN
F,Asian,Unknown,Regular(Graduate Programs),GR,MSN
M,Asian,Unknown,First Time Freshman,UG,BBA
F,Asian,Other,New Transfer,UG,BA
F,Asian,Unknown,First Time Freshman,UG,BSN
F,Asian,Christian,Regular(Graduate Programs),GR,PA-ED-CERT
M,Asian,Unknown,Regular(Graduate Programs),GR,MBA-AP
M,Asian,Unknown,First Time Freshman,UG,BS
F,Asian,Unknown,First Time Freshman,UG,BS-ON
M,Asian,Unknown,New Transfer,UG,RN-BSN-AP
F,Asian,Unknown,First Time Freshman,UG,BS
F,Asian,Unknown,First Time Freshman,UG,BBA
M,Asian,Unknown,First Time Freshman,UG,BBA
F,Asian,Unknown,Regular(Graduate Programs),GR,MBA-AP
F,Asian,Unknown,First Time Freshman,UG,BSN
F,Asian,Unknown,First Time Freshman,UG,BSN
F,Asian,Unknown,Academic Discovery Program,UG,BSN
F,Black or African American,Unknown,New Transfer,UG,BS
M,Black or African American,Unknown,New Transfer,UG,BA
F,Black or African American,Unknown,First Time Freshman,UG,BSPH
F,Black or African American,Christian,New Transfer,UG,PRE-ACHIEVE
F,Black or African American,Unknown,First Time Freshman,UG,BS
F,Black or African American,Unknown,First Time Freshman,UG,BSN
F,Black or African American,Unknown,First Time Freshman,UG,BA
F,Black or African American,Unknown,Dual Admission Transfer,UG,ACHIEVE
F,Black or African American,No Religion,Regular(Graduate Programs),GR,MBA-AP
F,Black or African American,Unknown,Academic Discovery Program,UG,BA
F,Black or African American,Unknown,Regular(Graduate Programs),GR,MSW
F,Black or African American,Muslim,New Transfer,UG,ACHIEVE
F,Black or African American,Unknown,First Time Freshman,UG,BS
F,Black or African American,Unknown,New Transfer,UG,PRE-ACHIEVE
F,Black or African American,Unknown,First Time Freshman,UG,BSN
M,Black or African American,No Religion,First Time Freshman,UG,BA
F,Black or African American,Unknown,Academic Discovery Program,UG,BSN
F,Black or African American,Unknown,Academic Discovery Program,UG,BA
F,Black or African American,Christian,Dual Admission Transfer,UG,BSN
F,Black or African American,Unknown,First Time Freshman,UG,BSN
F,Black or African American,Unknown,First Time Freshman,UG,BSN
